id,title,questionClass,pjMode,externalForPJ,systemInference,observa,define,decide,ejecuta,controla,recibe,custodia,administra,specificActors,note
P12,Identificación de macroelemento material probatorio,clasificacion_macroelemento,RESUELVE_CON_HECHOS | PRESERVA_DOCUMENTA,No,Sí,PJ | PERITO,PJ | PERITO,,PJ | PERITO,,,PJ | CUSTODIO,,,
P12A,Examen del macroelemento,estado_examen,VERIFICA_DECISION_EXTERNA | COORDINA_REMITE,Sí,No,PJ | PERITO,PERITO,,PERITO,,PJ,PJ | PERITO | CUSTODIO,,,
P12B,Destino jurídico del macroelemento después del aseguramiento probatorio,estado_juridico_posterior,VERIFICA_DECISION_EXTERNA | CONTEXTO,Sí,Sí,PJ | FISCAL | CUSTODIO,FISCAL | JUEZ,FISCAL | JUEZ,PJ | CUSTODIO,JUEZ,TITULAR | ADMINISTRADOR,CUSTODIO,ADMINISTRADOR,,
P04A,Reencauzamiento después de descartar régimen especial,reencauzamiento,RESUELVE_CON_HECHOS,No,Sí,PJ,PJ | FISCAL,,PJ,,,PJ | CUSTODIO,,,
P07D,Tipo de medida cautelar en incidente de reparación integral,decision_judicial,VERIFICA_DECISION_EXTERNA | CONTEXTO,Sí,No,PJ | FISCAL,JUEZ,JUEZ,CUSTODIO | ADMINISTRADOR,JUEZ,CUSTODIO | ADMINISTRADOR,CUSTODIO,ADMINISTRADOR,,
ESP-ARM,"Armas de fuego, municiones, explosivos, accesorios y dispositivos menos letales",seleccion_regimen,RESUELVE_CON_HECHOS | PRESERVA_DOCUMENTA,No,Sí,PJ,PJ | AUTORIDAD_ESPECIAL,FISCAL | AUTORIDAD_ESPECIAL,PJ | PERITO | AUTORIDAD_ESPECIAL,,PERITO | AUTORIDAD_ESPECIAL,PJ | CUSTODIO | AUTORIDAD_ESPECIAL,AUTORIDAD_ESPECIAL,DCCAE | INDUMIL | autoridades militares/policiales,
ESP-ARM-A,Armas de fuego y municiones vinculadas a investigación penal,estado_tecnico_probatorio,RESUELVE_CON_HECHOS | VERIFICA_DECISION_EXTERNA,Sí,No,PJ | PERITO | FISCAL,PERITO | FISCAL,FISCAL,PJ | PERITO,,PERITO | AUTORIDAD_ESPECIAL,PERITO | AUTORIDAD_ESPECIAL,AUTORIDAD_ESPECIAL,laboratorio de balística | autoridad militar/policial,
ESP-ARM-A1,Examen técnico y permanencia probatoria del arma o munición,estado_examen_necesidad,VERIFICA_DECISION_EXTERNA | CONTEXTO,Sí,No,PJ | PERITO | FISCAL,PERITO | FISCAL,FISCAL,PERITO,,,PERITO | AUTORIDAD_ESPECIAL,AUTORIDAD_ESPECIAL,,
ESP-ARM-A2,Disposición final del arma o munición después de agotada la necesidad probatoria,disposicion_post_probatoria,VERIFICA_DECISION_EXTERNA | CONTEXTO,Sí,No,PJ | FISCAL | AUTORIDAD_ESPECIAL,FISCAL | JUEZ | AUTORIDAD_ESPECIAL,FISCAL | JUEZ | AUTORIDAD_ESPECIAL,AUTORIDAD_ESPECIAL,JUEZ,AUTORIDAD_ESPECIAL | TITULAR,AUTORIDAD_ESPECIAL | CUSTODIO,AUTORIDAD_ESPECIAL,,
ESP-ARM-B,"Explosivos, artefactos explosivos, sustancias explosivas y accesorios de voladura",estado_explosivo_seguridad,RESUELVE_CON_HECHOS | COORDINA_REMITE,No,No,PJ | PERITO,PERITO | FISCAL,FISCAL | PJ,PERITO | PJ,,AUTORIDAD_ESPECIAL,PJ | AUTORIDAD_ESPECIAL,AUTORIDAD_ESPECIAL,técnicos en explosivos | polvorín autorizado,
ESP-ARM-C,"Incautación, decomiso o hallazgo sectorial de armas, municiones y explosivos sin función probatoria penal actual",titulo_sectorial,VERIFICA_DECISION_EXTERNA | CONTEXTO,Sí,No,PJ | AUTORIDAD_ESPECIAL,AUTORIDAD_ESPECIAL,AUTORIDAD_ESPECIAL | JUEZ,PJ | AUTORIDAD_ESPECIAL,AUTORIDAD_ESPECIAL,AUTORIDAD_ESPECIAL | TITULAR,AUTORIDAD_ESPECIAL,AUTORIDAD_ESPECIAL,DCCAE | autoridad militar/policial,
ESP-ARM-D,"Armas, elementos y dispositivos menos letales, accesorios, partes y municiones",regimen_menos_letal,RESUELVE_CON_HECHOS | VERIFICA_DECISION_EXTERNA,Sí,Sí,PJ | AUTORIDAD_ESPECIAL,AUTORIDAD_ESPECIAL,AUTORIDAD_ESPECIAL,PJ | AUTORIDAD_ESPECIAL,,AUTORIDAD_ESPECIAL,AUTORIDAD_ESPECIAL,AUTORIDAD_ESPECIAL,DCCAE | INDUMIL,
ESP-AMB,"Fauna, flora silvestre o acuática, recursos hidrobiológicos y medios asociados a infracción ambiental",regimen_ambiental,RESUELVE_CON_HECHOS | COORDINA_REMITE,No,Sí,PJ | AUTORIDAD_ESPECIAL,AUTORIDAD_ESPECIAL | FISCAL,AUTORIDAD_ESPECIAL | FISCAL | JUEZ,PJ | AUTORIDAD_ESPECIAL,AUTORIDAD_ESPECIAL | JUEZ,AUTORIDAD_ESPECIAL,AUTORIDAD_ESPECIAL | CUSTODIO,AUTORIDAD_ESPECIAL,autoridad ambiental competente,
ESP-AMB-A,"Individuos o especímenes vivos/completos de fauna, flora silvestre o acuática",estado_tecnico_individuo,VERIFICA_DECISION_EXTERNA | COORDINA_REMITE,Sí,No,PJ | PERITO | AUTORIDAD_ESPECIAL,PERITO | AUTORIDAD_ESPECIAL,AUTORIDAD_ESPECIAL | FISCAL,PJ | PERITO | AUTORIDAD_ESPECIAL,,AUTORIDAD_ESPECIAL,AUTORIDAD_ESPECIAL,AUTORIDAD_ESPECIAL,,
ESP-AMB-B,"Productos, subproductos, maderas, recursos hidrobiológicos, productos pesqueros, perecederos y muestras ambientales",necesidad_conservacion_muestra,APORTA_HECHOS | VERIFICA_DECISION_EXTERNA,Sí,No,PJ | PERITO | AUTORIDAD_ESPECIAL,PERITO | FISCAL | AUTORIDAD_ESPECIAL,FISCAL | AUTORIDAD_ESPECIAL,PJ | PERITO | AUTORIDAD_ESPECIAL,,AUTORIDAD_ESPECIAL,AUTORIDAD_ESPECIAL | CUSTODIO,AUTORIDAD_ESPECIAL,,
ESP-AMB-C,"Medios, equipos, vehículos o implementos utilizados para cometer una infracción ambiental",titulo_y_funcion,APORTA_HECHOS | VERIFICA_DECISION_EXTERNA,Sí,No,PJ | FISCAL | AUTORIDAD_ESPECIAL,FISCAL | JUEZ | AUTORIDAD_ESPECIAL,FISCAL | JUEZ | AUTORIDAD_ESPECIAL,PJ | AUTORIDAD_ESPECIAL,JUEZ | AUTORIDAD_ESPECIAL,ADMINISTRADOR | AUTORIDAD_ESPECIAL,CUSTODIO | ADMINISTRADOR,ADMINISTRADOR | AUTORIDAD_ESPECIAL,,
ESP-CON,"Mercancías sometidas a aprehensión, decomiso o disposición aduanera relacionadas con una investigación penal",coexistencia_aduanera_penal,RESUELVE_CON_HECHOS | COORDINA_REMITE,No,No,PJ | FISCAL | AUTORIDAD_ESPECIAL,AUTORIDAD_ESPECIAL | FISCAL,AUTORIDAD_ESPECIAL | FISCAL,PJ | AUTORIDAD_ESPECIAL,,AUTORIDAD_ESPECIAL,AUTORIDAD_ESPECIAL,AUTORIDAD_ESPECIAL,DIAN,
ESP-HUM,"Cadáveres, partes humanas, restos óseos y muestras biológicas humanas",seleccion_regimen_forense,RESUELVE_CON_HECHOS | COORDINA_REMITE,No,Sí,PJ | PERITO,PERITO,FISCAL | JUEZ,PJ | PERITO,,PERITO | AUTORIDAD_ESPECIAL,PERITO | AUTORIDAD_ESPECIAL,AUTORIDAD_ESPECIAL,INMLCF,
ESP-HUM-A,Cadáveres y partes corporales con tejido blando sometidos a inspección y necropsia médico-legal,estado_necropsia_entrega,VERIFICA_DECISION_EXTERNA | COORDINA_REMITE,Sí,No,PJ | PERITO | FISCAL,PERITO | FISCAL,FISCAL | AUTORIDAD_ESPECIAL,PERITO | PJ,,TITULAR | AUTORIDAD_ESPECIAL,AUTORIDAD_ESPECIAL,AUTORIDAD_ESPECIAL,INMLCF,
ESP-HUM-B,"Restos óseos, cuerpos esqueletizados, exhumados o no identificados y personas desaparecidas",estado_identificacion_forense,VERIFICA_DECISION_EXTERNA | CONTEXTO,Sí,No,PJ | PERITO | FISCAL,PERITO | FISCAL,FISCAL | JUEZ,PERITO | PJ,,TITULAR | AUTORIDAD_ESPECIAL,AUTORIDAD_ESPECIAL,AUTORIDAD_ESPECIAL,INMLCF,
ESP-HUM-C,"Muestras biológicas humanas ya halladas u obtenidas: sangre, semen, saliva, tejidos, pelos, fluidos y similares",estado_muestra_remanente,VERIFICA_DECISION_EXTERNA | COORDINA_REMITE,Sí,No,PJ | PERITO,PERITO,FISCAL | AUTORIDAD_ESPECIAL,PERITO,,PERITO | CUSTODIO,PERITO | CUSTODIO,AUTORIDAD_ESPECIAL,laboratorio competente | INMLCF,
ESP-HUM-D,"Obtención de muestras biológicas o corporales de víctimas, indiciados o imputados vivos",habilitacion_intervencion_corporal,VERIFICA_DECISION_EXTERNA | COORDINA_REMITE | CONTEXTO,Sí,No,PJ | FISCAL | TITULAR,FISCAL | JUEZ | TITULAR,JUEZ | FISCAL,PERITO | PJ,JUEZ,PERITO,PERITO | CUSTODIO,,INMLCF | establecimiento de salud,"PJ coordina y documenta; no reemplaza consentimiento, autorización judicial ni conocimiento sanitario."
ESP-PAT,"Patrimonio cultural material, arqueológico, documental, bibliográfico o sumergido",regimen_patrimonial_especial,RESUELVE_CON_HECHOS | VERIFICA_DECISION_EXTERNA | COORDINA_REMITE,Sí,No,PJ | AUTORIDAD_ESPECIAL,AUTORIDAD_ESPECIAL | FISCAL | PERITO,AUTORIDAD_ESPECIAL | FISCAL | JUEZ,PJ | PERITO | AUTORIDAD_ESPECIAL,JUEZ | AUTORIDAD_ESPECIAL,AUTORIDAD_ESPECIAL,AUTORIDAD_ESPECIAL | CUSTODIO,AUTORIDAD_ESPECIAL,autoridad cultural competente,
ESP-PAT-A,"Patrimonio arqueológico terrestre, contextos y bienes muebles arqueológicos",regimen_patrimonial_especial,RESUELVE_CON_HECHOS | VERIFICA_DECISION_EXTERNA | COORDINA_REMITE,Sí,No,PJ | AUTORIDAD_ESPECIAL,AUTORIDAD_ESPECIAL | FISCAL | PERITO,AUTORIDAD_ESPECIAL | FISCAL | JUEZ,PJ | PERITO | AUTORIDAD_ESPECIAL,JUEZ | AUTORIDAD_ESPECIAL,AUTORIDAD_ESPECIAL,AUTORIDAD_ESPECIAL | CUSTODIO,AUTORIDAD_ESPECIAL,ICANH,
ESP-PAT-B,Bienes de Interés Cultural (BIC) muebles no arqueológicos y otros bienes culturales materiales sometidos al Régimen Especial de Protección,regimen_patrimonial_especial,RESUELVE_CON_HECHOS | VERIFICA_DECISION_EXTERNA | COORDINA_REMITE,Sí,No,PJ | AUTORIDAD_ESPECIAL,AUTORIDAD_ESPECIAL | FISCAL | PERITO,AUTORIDAD_ESPECIAL | FISCAL | JUEZ,PJ | PERITO | AUTORIDAD_ESPECIAL,JUEZ | AUTORIDAD_ESPECIAL,AUTORIDAD_ESPECIAL,AUTORIDAD_ESPECIAL | CUSTODIO,AUTORIDAD_ESPECIAL,Ministerio de las Culturas / autoridad BIC competente,
ESP-PAT-C,"Patrimonio documental y archivístico: documentos de archivo públicos, históricos y BIC-CDA",regimen_patrimonial_especial,RESUELVE_CON_HECHOS | VERIFICA_DECISION_EXTERNA | COORDINA_REMITE,Sí,No,PJ | AUTORIDAD_ESPECIAL,AUTORIDAD_ESPECIAL | FISCAL | PERITO,AUTORIDAD_ESPECIAL | FISCAL | JUEZ,PJ | PERITO | AUTORIDAD_ESPECIAL,JUEZ | AUTORIDAD_ESPECIAL,AUTORIDAD_ESPECIAL,AUTORIDAD_ESPECIAL | CUSTODIO,AUTORIDAD_ESPECIAL,Archivo General de la Nación / autoridad archivística competente,
ESP-PAT-D,"Patrimonio bibliográfico, hemerográfico, sonoro, audiovisual y de imágenes en movimiento",regimen_patrimonial_especial,RESUELVE_CON_HECHOS | VERIFICA_DECISION_EXTERNA | COORDINA_REMITE,Sí,No,PJ | AUTORIDAD_ESPECIAL,AUTORIDAD_ESPECIAL | FISCAL | PERITO,AUTORIDAD_ESPECIAL | FISCAL | JUEZ,PJ | PERITO | AUTORIDAD_ESPECIAL,JUEZ | AUTORIDAD_ESPECIAL,AUTORIDAD_ESPECIAL,AUTORIDAD_ESPECIAL | CUSTODIO,AUTORIDAD_ESPECIAL,"autoridad bibliográfica, audiovisual o patrimonial competente",
ESP-PAT-E,Patrimonio Cultural Sumergido,regimen_patrimonial_especial,RESUELVE_CON_HECHOS | VERIFICA_DECISION_EXTERNA | COORDINA_REMITE,Sí,No,PJ | AUTORIDAD_ESPECIAL,AUTORIDAD_ESPECIAL | FISCAL | PERITO,AUTORIDAD_ESPECIAL | FISCAL | JUEZ,PJ | PERITO | AUTORIDAD_ESPECIAL,JUEZ | AUTORIDAD_ESPECIAL,AUTORIDAD_ESPECIAL,AUTORIDAD_ESPECIAL | CUSTODIO,AUTORIDAD_ESPECIAL,autoridad competente en Patrimonio Cultural Sumergido,
ESP-EXT,Bienes afectados en extinción de dominio,estado_extincion_dominio,VERIFICA_DECISION_EXTERNA | CONTEXTO,Sí,No,PJ | FISCAL | ADMINISTRADOR,FISCAL | JUEZ,FISCAL | JUEZ,PJ | ADMINISTRADOR,JUEZ,ADMINISTRADOR,ADMINISTRADOR | CUSTODIO,ADMINISTRADOR,SAE,
ESP-MET,"Divisas, oro, plata, platino y otros valores regulados",regimen_valores,RESUELVE_CON_HECHOS | VERIFICA_DECISION_EXTERNA | COORDINA_REMITE,Sí,No,PJ | FISCAL | ADMINISTRADOR,FISCAL | ADMINISTRADOR | AUTORIDAD_ESPECIAL,FISCAL | JUEZ,PJ | ADMINISTRADOR | AUTORIDAD_ESPECIAL,,ADMINISTRADOR | AUTORIDAD_ESPECIAL,ADMINISTRADOR | AUTORIDAD_ESPECIAL,ADMINISTRADOR,FEAB | SAE | Banco de la República,
ESP-DIG,Dispositivos electrónicos y evidencia digital,evidencia_digital,RESUELVE_CON_HECHOS | PRESERVA_DOCUMENTA | COORDINA_REMITE,No,No,PJ | PERITO,PJ | PERITO | FISCAL,FISCAL,PJ | PERITO,,PERITO | CUSTODIO,PERITO | CUSTODIO,,,
ESP-MACRO,Macroelementos,macroelemento_especial,RESUELVE_CON_HECHOS | PRESERVA_DOCUMENTA,No,Sí,PJ | PERITO,PJ | PERITO,FISCAL | JUEZ,PJ | PERITO,,TITULAR | ADMINISTRADOR,PJ | CUSTODIO,ADMINISTRADOR,,
ESP-MIN,Maquinaria pesada y sus partes utilizadas en exploración o explotación minera sin autorizaciones legales,regimen_mineria,RESUELVE_CON_HECHOS | COORDINA_REMITE | VERIFICA_DECISION_EXTERNA,Sí,No,PJ | AUTORIDAD_ESPECIAL,AUTORIDAD_ESPECIAL | FISCAL,FISCAL | AUTORIDAD_ESPECIAL | JUEZ,PJ | AUTORIDAD_ESPECIAL | PERITO,JUEZ | AUTORIDAD_ESPECIAL,AUTORIDAD_ESPECIAL | ADMINISTRADOR,AUTORIDAD_ESPECIAL | CUSTODIO,AUTORIDAD_ESPECIAL | ADMINISTRADOR,ANM | ANLA/autoridad ambiental | Policía Nacional/DICAR,
ESP,Selector general de regímenes especiales,selector_general_regimen,RESUELVE_CON_HECHOS,No,Sí,PJ,PJ | AUTORIDAD_ESPECIAL,,PJ,,AUTORIDAD_ESPECIAL,PJ | CUSTODIO,AUTORIDAD_ESPECIAL,,
P01B,Identificación como bien,clasificacion_bien,RESUELVE_CON_HECHOS,No,Sí,PJ,PJ | FISCAL,,PJ,,,PJ,,,
P05M,Materialización de la medida con fines de comiso,estado_actuacion,RESUELVE_CON_HECHOS | EJECUTA,No,No,PJ | FISCAL,PJ,,PJ,,,PJ,,,
DES-87-CUST,Custodia previa a destrucción del artículo 87,custodia_actual,RESUELVE_CON_HECHOS,No,No,PJ | CUSTODIO,CUSTODIO,,CUSTODIO,,,CUSTODIO,,,
DES-87-PREV,Preservación y cadena previa – artículo 87,requisito_preservacion,RESUELVE_CON_HECHOS | PRESERVA_DOCUMENTA,No,No,PJ | CUSTODIO,PJ | FISCAL,,PJ | CUSTODIO,,,CUSTODIO,,,
DES-DROGA-CUST,Custodia y control previo de laboratorio o cultivo,custodia_actual,RESUELVE_CON_HECHOS,No,No,PJ | CUSTODIO,PJ | CUSTODIO,,PJ | CUSTODIO,,,PJ | CUSTODIO,,,
DES-DROGA-PREV,Muestras antes de destruir laboratorio o cultivo,requisito_muestras,RESUELVE_CON_HECHOS | PRESERVA_DOCUMENTA,No,No,PJ | PERITO,PJ | PERITO,,PJ | PERITO,,,PJ | CUSTODIO,,,
DES-REM-CUST,Custodia del remanente,custodia_laboratorio,VERIFICA_DECISION_EXTERNA | CONTEXTO,Sí,No,PJ | PERITO | CUSTODIO,PERITO | CUSTODIO,,PERITO | CUSTODIO,,,PERITO | CUSTODIO,,,
DES-REM-ORDER,Decisión sobre destrucción de remanente,decision_externa,VERIFICA_DECISION_EXTERNA | CONTEXTO,Sí,No,PJ | PERITO | CUSTODIO,FISCAL | JUEZ,FISCAL | JUEZ,PERITO | CUSTODIO,,,PERITO | CUSTODIO,,,
DES-FEAB-BASE,Destrucción o chatarrización bajo administración FEAB,estado_administracion,VERIFICA_DECISION_EXTERNA | CONTEXTO,Sí,No,PJ | ADMINISTRADOR,ADMINISTRADOR,ADMINISTRADOR,ADMINISTRADOR | AUTORIDAD_ESPECIAL,,ADMINISTRADOR,CUSTODIO,ADMINISTRADOR,FEAB,
DES-DIAN-BASE,Destrucción bajo régimen aduanero,estado_aduanero,VERIFICA_DECISION_EXTERNA | CONTEXTO,Sí,No,PJ | AUTORIDAD_ESPECIAL,AUTORIDAD_ESPECIAL,AUTORIDAD_ESPECIAL,AUTORIDAD_ESPECIAL,,AUTORIDAD_ESPECIAL,AUTORIDAD_ESPECIAL,AUTORIDAD_ESPECIAL,DIAN,
DES-DIAN-PROB,Coordinación DIAN – investigación penal,coordinacion_penal_aduanera,VERIFICA_DECISION_EXTERNA | COORDINA_REMITE,Sí,No,PJ | FISCAL | AUTORIDAD_ESPECIAL,FISCAL | PJ,FISCAL | AUTORIDAD_ESPECIAL,PJ | AUTORIDAD_ESPECIAL,,AUTORIDAD_ESPECIAL,AUTORIDAD_ESPECIAL,AUTORIDAD_ESPECIAL,DIAN,
DES-ARM563-CUST,Custodia del arma antes de su destrucción,custodia_actual,RESUELVE_CON_HECHOS,No,No,PJ | CUSTODIO | AUTORIDAD_ESPECIAL,CUSTODIO,,CUSTODIO,,,CUSTODIO | AUTORIDAD_ESPECIAL,AUTORIDAD_ESPECIAL,,
DES-ARM563-PREV,Cadena de custodia del arma – artículo 563,requisito_cadena,RESUELVE_CON_HECHOS | PRESERVA_DOCUMENTA,No,No,PJ | CUSTODIO,PJ,,PJ | CUSTODIO,,,CUSTODIO,,,
DES-AML-PREV,Decomiso sectorial del elemento menos letal,estado_decomiso_sectorial,VERIFICA_DECISION_EXTERNA | CONTEXTO,Sí,No,PJ | AUTORIDAD_ESPECIAL,AUTORIDAD_ESPECIAL,AUTORIDAD_ESPECIAL,AUTORIDAD_ESPECIAL,AUTORIDAD_ESPECIAL,,AUTORIDAD_ESPECIAL,AUTORIDAD_ESPECIAL,DCCAE/autoridad sectorial,
P12A2,Recolección de EMP y EF del macroelemento,estado_recoleccion,RESUELVE_CON_HECHOS | PRESERVA_DOCUMENTA,No,No,PJ | PERITO,PJ,,PJ | PERITO,,,PJ | CUSTODIO,,,
P12A3,Documentación sustitutiva del macroelemento,estado_documentacion,RESUELVE_CON_HECHOS | PRESERVA_DOCUMENTA,No,No,PJ | PERITO,PJ | PERITO,,PJ | PERITO,,,PJ | CUSTODIO,,,
DES-87-PERITO,Informe pericial oficial de ilegitimidad – artículo 87,decision_tecnica_externa,VERIFICA_DECISION_EXTERNA | COORDINA_REMITE,Sí,No,PJ | FISCAL | PERITO,PERITO,,PERITO,,,PERITO | CUSTODIO,,,
DES-DROGA-REGISTRO,Registro fotográfico o en video antes de destruir,requisito_documentacion,RESUELVE_CON_HECHOS | PRESERVA_DOCUMENTA,No,No,PJ,PJ,,PJ,,,PJ | CUSTODIO,,,
DES-DROGA-CADENA,Cadena de custodia de evidencia sustitutiva,requisito_cadena,RESUELVE_CON_HECHOS | PRESERVA_DOCUMENTA,No,No,PJ | CUSTODIO,PJ,,PJ | CUSTODIO,,,CUSTODIO,,,
DES-ARM563-PERICIA,Examen pericial del arma – artículo 563,estado_examen,VERIFICA_DECISION_EXTERNA | COORDINA_REMITE,Sí,No,PJ | PERITO,PERITO,,PERITO,,,PERITO | CUSTODIO,,,
DES-ARM563-NECESIDAD,Necesidad probatoria del arma – artículo 563,decision_necesidad_probatoria,VERIFICA_DECISION_EXTERNA | CONTEXTO,Sí,No,PJ | PERITO | FISCAL,FISCAL,FISCAL,,,,CUSTODIO | AUTORIDAD_ESPECIAL,AUTORIDAD_ESPECIAL,,
DES-ARM563-ORDEN,Orden fiscal de destrucción del arma – artículo 563,orden_fiscal,VERIFICA_DECISION_EXTERNA | CONTEXTO,Sí,No,PJ | FISCAL | CUSTODIO,FISCAL,FISCAL,AUTORIDAD_ESPECIAL,,,CUSTODIO | AUTORIDAD_ESPECIAL,AUTORIDAD_ESPECIAL,,
DES-AML-DCCAE,Concepto previo del DCCAE,concepto_sectorial,VERIFICA_DECISION_EXTERNA | CONTEXTO,Sí,No,PJ | AUTORIDAD_ESPECIAL,AUTORIDAD_ESPECIAL,AUTORIDAD_ESPECIAL,AUTORIDAD_ESPECIAL,,AUTORIDAD_ESPECIAL,AUTORIDAD_ESPECIAL,AUTORIDAD_ESPECIAL,DCCAE | INDUMIL,
